西安,经营,碑林,糕点,整装,陕西省产品质量监督检验研究院,合格
西安,经营,新城,糕点,整装,陕西省产品质量监督检验研究院,合格
徐州,经营,碑林,糕点,整装,陕西省产品质量监督检验研究院,合格
西安,经营,碑林,糕点,整装,陕西省产品质量监督检验研究院,合格
西安,经营,碑林,糕点,整装,陕西省产品质量监督检验研究院,合格
西安,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,雁塔,糕点,整装,陕西省产品质量监督检验研究院,合格
成都,经营,碑林,糕点,整装,陕西省产品质量监督检验研究院,合格
西安,经营,碑林,蜂产品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,碑林,蜂产品,整装,陕西省产品质量监督检验研究院,合格
饶平县,经营,雁塔,肉制品,整装,陕西省产品质量监督检验研究院,合格
绵阳,经营,雁塔,肉制品,整装,陕西省产品质量监督检验研究院,合格
汤阴县,经营,碑林,豆制品,整装,陕西省产品质量监督检验研究院,合格
安阳,经营,碑林,豆制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,碑林,蜂产品,整装,陕西省产品质量监督检验研究院,合格
杭州,经营,雁塔,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,碑林,糕点,整装,陕西省产品质量监督检验研究院,合格
宝鸡,经营,雁塔,肉制品,整装,陕西省产品质量监督检验研究院,合格
杭州,经营,临潼,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
眉山,经营,雁塔,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
西安,经营,碑林,蜂产品,整装,陕西省产品质量监督检验研究院,合格
内黄,经营,碑林,豆制品,整装,陕西省产品质量监督检验研究院,合格
杭州,经营,雁塔,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
德州,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
巴彦淖尔,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
product_unit_address标示生产单位地址,经营,雁塔,鸡蛋,散装,陕西省产品质量监督检验研究院,合格
西安,经营,未央,糕点,整装,陕西省产品质量监督检验研究院,合格
唐山,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
唐山,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
唐山,经营,雁塔,乳制品,整装,陕西省产品质量监督检验研究院,合格
吴忠,经营,碑林,乳制品,整装,陕西省产品质量监督检验研究院,合格
上海,经营,灞桥,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
上海,经营,雁塔,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
重庆,经营,灞桥,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
重庆,经营,灞桥,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
抚州,经营,临潼,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
上海,经营,灞桥,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
宝鸡,经营,临潼,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
眉山,经营,碑林,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
成都,经营,灞桥,蔬菜制品,整装,陕西省产品质量监督检验研究院,合格
石家庄,经营,碑林,乳制品,整装,陕西省产品质量监督检验研究院,合格
